Name,Start,End,Number of Tracks,Length,Electrified,Min Curvature,Speed Limit Track,Speed Limit,Speed Limit Double Tilt,Speed Limit Tilt,Speed Curve,Speed Curve Double Tilt,Speed Curve Tilt
Kogarah Station,Kogarah Station North,Kogarah Station South,4,180,Yes,0,200,200,200,200,200,200,200
Illawara,Kogarah Station South,Carlton Station East,4,950,Yes,800,200,110,135,145,110,135,145
Carlton Station,Carlton Station East,Carlton Station West,4,160,Yes,0,200,200,200,200,200,200,200
Illawara,Carlton Station West,Allawah Bend,4,570,Yes,0,200,200,200,200,200,200,200
Illawara,Allawah Bend,Allawah Station East,4,220,Yes,700,200,100,125,135,100,125,135
Allawah Station,Allawah Station East,Allawah Station West,4,170,Yes,700,200,100,125,135,100,125,135
Illawara,Allawah Station West,Hurstville Station East,4,930,Yes,700,200,100,125,135,100,125,135
Hurstville Station,Hurstville Station East,Hurstville Station West,4,210,Yes,700,200,100,125,135,100,125,135
Illawara,Hurstville Station West,Hurstville Straight,4,680,Yes,700,200,100,125,135,100,125,135
Illawara,Hurstville Straight,Penhurst Station East,2,440,Yes,1800,200,165,200,200,165,200,200
Penhurst Station,Penhurst Station East,Penhurst Station West,2,160,Yes,1800,200,165,200,200,165,200,200
Illawara,Penhurst Station West,Mortdale Station North,2,770,Yes,1000,200,125,150,165,125,150,165
Mortdale Station,Mortdale Station North,Mortdale Station South,2,160,Yes,1000,200,125,150,165,125,150,165
Illawara,Mortdale Station South,Mortdale Maintence Centre,4,240,Yes,1000,200,125,150,165,125,150,165
Illawara,Mortdale Maintence Centre,Oatley Curve,2,540,Yes,600,200,95,115,125,95,115,125
Illawara,Oatley Curve,Oatley Station North,2,280,Yes,700,200,100,125,135,100,125,135
Oatley Station,Oatley Station North,Oatley Station South,2,170,Yes,700,200,100,125,135,100,125,135
Illawara,Oatley Station South,Oatley Straight,2,860,Yes,500,200,85,105,115,85,105,115
Illawara,Oatley Straight,Old Como Bridge,2,1100,Yes,3000,200,200,200,200,200,200,200
Illawara,Old Como Bridge,Como Station North,2,850,Yes,600,200,95,115,125,95,115,125
Como Station,Como Station North,Como Station South,2,170,Yes,600,200,95,115,125,95,115,125
Illawara,Como Station South,Jannali Curve,2,460,Yes,400,200,75,95,100,75,95,100
Illawara,Jannali Curve,Jannali Station North,2,830,Yes,900,200,115,145,155,115,145,155
Jannali Station,Jannali Station North,Jannali Station South,2,170,Yes,0,200,200,200,200,200,200,200
Illawara,Jannali Station South,Jannali Straight,2,830,Yes,1700,200,160,200,200,160,200,200
Illawara,Jannali Straight,Sutherland Station North,2,920,Yes,0,200,200,200,200,200,200,200
Sutherland Station,Sutherland Station North,Sutherland Station South,3,170,Yes,0,200,200,200,200,200,200,200
Illawara,Sutherland Station South,Sutherland Split,3,180,Yes,0,200,200,200,200,200,200,200
Illawara,Sutherland Split,Sutherland Curve,2,330,Yes,0,200,200,200,200,200,200,200
Illawara,Sutherland Curve,Loftus Station North,2,970,Yes,1700,200,160,200,200,160,200,200
Loftus Station,Loftus Station North,Loftus Station South,2,170,Yes,0,200,200,200,200,200,200,200
Illawara,Loftus Station South,Loftus Straight,2,1000,Yes,700,200,100,125,135,100,125,135
Illawara,Loftus Straight,Engadine Curve,2,2480,Yes,0,200,200,200,200,200,200,200
Illawara,Engadine Curve,Engadine Station North,2,850,Yes,1800,200,165,200,200,165,200,200
Engadine Station,Engadine Station North,Engadine Station South,2,170,Yes,1800,200,165,200,200,165,200,200
Illawara,Engadine Station South,Heathcote Curve,2,1490,Yes,1800,200,165,200,200,165,200,200
Illawara,Heathcote Curve,Heathcote Station North,2,760,Yes,700,200,100,125,135,100,125,135
Heathcote Station,Heathcote Station North,Heathcote Station South,2,170,Yes,0,200,200,200,200,200,200,200
Illawara,Heathcote Station South,Heathcote Straight,2,1120,Yes,0,200,200,200,200,200,200,200
Illawara,Heathcote Straight,Waterfall Straight,2,1210,Yes,1600,200,155,195,200,155,195,200
Illawara,Waterfall Straight,Waterfall Curve,2,1170,Yes,0,200,200,200,200,200,200,200
Illawara,Waterfall Curve,Waterfall Second Straight,3,1060,Yes,2700,200,200,200,200,200,200,200
Illawara,Waterfall Second Straight,Waterfall Station North,4,840,Yes,0,200,200,200,200,200,200,200
Waterfall Station,Waterfall Station North,Waterfall Station South,4,170,Yes,0,200,200,200,200,200,200,200
Illawara,Waterfall Station South,Waterfall Bends,4,140,Yes,0,200,200,200,200,200,200,200
Illawara,Waterfall Bends,Waterfall Creek,3,880,Yes,600,200,95,115,125,95,115,125
Illawara,Waterfall Creek,Frews Gully,2,800,Yes,0,200,200,200,200,200,200,200
Illawara,Frews Gully,Frews Gully Curve,2,340,Yes,300,200,65,80,85,65,80,85
Illawara,Frews Gully Curve,Jerusalem Gully,2,430,Yes,200,200,50,65,70,50,65,70
Illawara,Jerusalem Gully,Haslem Gully Straight,2,480,Yes,300,200,65,80,85,65,80,85
Illawara,Haslem Gully Straight,Haslem Gully Bend,2,340,Yes,0,200,200,200,200,200,200,200
Illawara,Haslem Gully Bend,Cawleys Creek Bend,2,1400,Yes,300,200,65,80,85,65,80,85
Illawara,Cawleys Creek Bend,Wilsons Creek Curves,2,1190,Yes,200,200,50,65,70,50,65,70
Illawara,Wilsons Creek Curves,Wilsons Creek Bend,2,940,Yes,400,200,75,95,100,75,95,100
